"124r -- Yksityisen sektorin kuukausipalkkaisten ansiot koulutusluokituksen (4-numeroinen tutkintokoodi) mukaan vuonna 2018, 2018"

"Vuosi";"Koulutusluokitus";"Säännöllisen työajan keskiansio";"Säännöllisen työajan ansion mediaani"
"2018";"SSS Yhteensä";3691;3278
"2018";"3011 Ylioppilastutkinto";3520;3056
"2018";"3099 Muu yleissivistävä koulutus, keskiaste";3108;2562
"2018";"3111 Opettajankoulutus, keskiaste";3306;3209
"2018";"3171 Opettajankoulutus, erikoisammattitutkinto";3073;2800
"2018";"3211 Artesaani, käsi- ja taideteollisuuden peruskoulutus";2667;2447
"2018";"3212 Musiikin peruskoulutus";2663;2562
"2018";"3213 Kuvataiteen peruskoulutus";2586;2449
"2018";"3215 Teatteri- ja tanssialan peruskoulutus";2531;2384
"2018";"3216 Viestintäalan peruskoulutus";2894;2674
"2018";"3219 Muu taidealan sekä käsi- ja taideteollisuuden peruskoulutus";3389;3436
"2018";"3241 Käsi- ja taideteollisuuden ammattitutkinto";2470;2493
"2018";"3243 Kuvataiteen ammattitutkinto";3316;3300
"2018";"3245 Teatteri- ja tanssialan ammattitutkinto";2727;2735
"2018";"3246 Viestintäalan ammattitutkinto";3164;3068
"2018";"3271 Käsi- ja taideteollisuuden erikoisammattitutkinto";.;.
"2018";"3273 Kuvataiteen erikoisammattitutkinto";3905;3799
"2018";"3275 Teatteri- ja tanssialan erikoisammattitutkinto";.;.
"2018";"3299 Muu humanistinen ja taidealan koulutus, keskiaste";.;.
"2018";"3311 Liiketalouden perustutkinto (merkantti, merkonomi)";2902;2628
"2018";"3319 Muu kaupan ja hallinnon peruskoulutus, keskiaste";2756;2457
"2018";"3341 Kaupan ja hallinnon ammattitutkinto";3008;2707
"2018";"3371 Kaupan ja hallinnon erikoisammattitutkinto";3817;3521
"2018";"3399 Muu kaupallinen ja yhteiskuntatieteellinen koulutus, keskiaste";2914;2668
"2018";"3411 Tietojenkäsittelyn peruskoulutus, keskiaste";3237;3000
"2018";"3441 Tietojenkäsittelyn ammattitutkinto";3437;3197
"2018";"3471 Tietojenkäsittelyn erikoisammattitutkinto";3786;3677
"2018";"3511 Kone- ja metallialan peruskoulutus";3213;3009
"2018";"3512 LVI-alan peruskoulutus";2764;2476
"2018";"3513 Auto- ja kuljetusalan peruskoulutus";3153;2900
"2018";"3514 Sähköalan peruskoulutus";3479;3261
"2018";"3515 Tietotekniikan ja tietoliikenteen peruskoulutus";3556;3320
"2018";"3516 Paperi- ja kemianteollisuuden peruskoulutus";2977;2805
"2018";"3517 Puualan peruskoulutus";2958;2723
"2018";"3518 Pintakäsittelyalan peruskoulutus";2677;2402
"2018";"3521 Elintarvikealan peruskoulutus";2804;2524
"2018";"3522 Rakennus- ja yhdyskunta-alan peruskoulutus";3038;2785
"2018";"3523 Maanmittausalan peruskoulutus";3120;2881
"2018";"3524 Tekstiili- ja vaatetusalan peruskoulutus";2489;2328
"2018";"3525 Graafisen alan peruskoulutus";2924;2679
"2018";"3529 Muu tekniikan peruskoulutus, keskiaste";3033;2834
"2018";"3541 Kone- ja metallialan ammattitutkinto";3287;3181
"2018";"3542 LVI-alan ammattitutkinto";2703;2527
"2018";"3543 Auto- ja kuljetusalan ammattitutkinto";3529;3251
"2018";"3544 Sähköalan ammattitutkinto";3513;3424
"2018";"3545 Tietotekniikan ja tietoliikenteen ammattitutkinto";3459;3231
"2018";"3546 Paperi- ja kemianteollisuuden ammattitutkinto";3373;3320
"2018";"3547 Puualan ammattitutkinto";2986;2819
"2018";"3548 Pintakäsittelyalan ammattitutkinto";2837;2546
"2018";"3551 Elintarvikealan ammattitutkinto";2819;2709
"2018";"3552 Rakennus- ja yhdyskunta-alan ammattitutkinto";3458;3304
"2018";"3553 Maanmittausalan ammattitutkinto";.;.
"2018";"3554 Tekstiili- ja vaatetusalan ammattitutkinto";2443;2299
"2018";"3555 Graafisen alan ammattitutkinto";3250;2956
"2018";"3559 Muu tekniikan ammattitutkinto";3189;3018
"2018";"3571 Kone- ja metallialan erikoisammattitutkinto";3558;3396
"2018";"3572 LVI-alan erikoisammattitutkinto";3519;3459
"2018";"3573 Auto- ja kuljetusalan erikoisammattitutkinto";3630;3472
"2018";"3574 Sähköalan erikoisammattitutkinto";3939;3820
"2018";"3575 Tietotekniikan ja tietoliikenteen erikoisammattitutkinto";3688;3480
"2018";"3576 Paperi- ja kemianteollisuuden erikoisammattitutkinto";3654;3440
"2018";"3577 Puualan erikoisammattitutkinto";.;.
"2018";"3578 Pintakäsittelyalan erikoisammattitutkinto";3426;3360
"2018";"3581 Elintarvikealan erikoisammattitutkinto";3624;3626
"2018";"3582 Rakennus- ja yhdyskunta-alan erikoisammattitutkinto";3849;3762
"2018";"3584 Tekstiili- ja vaatetusalan erikoisammattitutkinto";2380;2341
"2018";"3585 Graafisen alan erikoisammattitutkinto";3795;3500
"2018";"3589 Muu tekniikan erikoisammattitutkinto";3812;3644
"2018";"3599 Muu tekniikan koulutus, keskiaste";2329;2301
"2018";"3611 Maatilatalouden peruskoulutus";2838;2564
"2018";"3612 Puutarhatalouden peruskoulutus";2426;2269
"2018";"3613 Metsätalouden peruskoulutus";2991;2834
"2018";"3614 Kalatalouden peruskoulutus";3253;3016
"2018";"3619 Muu maa- ja metsätalousalan peruskoulutus";2510;2435
"2018";"3641 Maatilatalouden ammattitutkinto";2569;2360
"2018";"3642 Puutarhatalouden ammattitutkinto";2397;2342
"2018";"3643 Metsätalouden ammattitutkinto";3063;2883
"2018";"3644 Kalatalouden ammattitutkinto";.;.
"2018";"3649 Muu maa- ja metsätalousalan ammattitutkinto";2487;2258
"2018";"3671 Maatilatalouden erikoisammattitutkinto";.;.
"2018";"3672 Puutarhatalouden erikoisammattitutkinto";.;.
"2018";"3673 Metsätalouden erikoisammattitutkinto";2627;2507
"2018";"3679 Muu maa- ja metsätalousalan erikoisammattitutkinto";.;.
"2018";"3699 Muu maa- ja metsätalousalan koulutus, keskiaste";.;.
"2018";"3711 Terveys- ja sosiaalialan peruskoulutus";2572;2496
"2018";"3741 Terveys- ja sosiaalialan ammattitutkinto";2508;2398
"2018";"3771 Terveys- ja sosiaalialan erikoisammattitutkinto";2756;2710
"2018";"3799 Muu terveys- ja sosiaalialan koulutus, keskiaste";.;.
"2018";"3811 Majoitus-, ravitsemis- ja talousalan peruskoulutus";2506;2331
"2018";"3812 Nuoriso- ja vapaa-aikatoiminnan peruskoulutus";2570;2373
"2018";"3813 Kauneudenhoitoalan peruskoulutus";2493;2341
"2018";"3814 Liikenteen ja merenkulun peruskoulutus";3048;2756
"2018";"3815 Suojelualan peruskoulutus";2956;2743
"2018";"3816 Sotilasalan peruskoulutus";3845;3585
"2018";"3819 Muu palvelualojen peruskoulutus, keskiaste";.;.
"2018";"3841 Majoitus-, ravitsemis- ja talousalan ammattitutkinto";2276;2163
"2018";"3842 Nuoriso- ja vapaa-aikatoiminnan ammattitutkinto";2696;2431
"2018";"3843 Kauneudenhoitoalan ammattitutkinto";.;.
"2018";"3844 Liikenteen ja merenkulun ammattitutkinto";3273;3125
"2018";"3845 Suojelualan ammattitutkinto";2834;2662
"2018";"3849 Muu palvelualojen ammattitutkinto";.;.
"2018";"3871 Majoitus-, ravitsemis- ja talousalan erikoisammattitutkinto";2793;2647
"2018";"3872 Nuoriso- ja vapaa-aikatoiminnan erikoisammattitutkinto";3363;3321
"2018";"3873 Kauneudenhoitoalan erikoisammattitutkinto";.;.
"2018";"3874 Liikenteen ja merenkulun erikoisammattitutkinto";.;.
"2018";"3875 Suojelualan erikoisammattitutkinto";3549;3260
"2018";"3899 Muu palvelualojen koulutus, keskiaste";2716;2470
"2018";"3999 Muu koulutus, keskiaste";2373;2307
"2018";"5112 Ammattikoulun ammatinopettaja";.;.
"2018";"5113 Kotiteollisuusopettaja";.;.
"2018";"5114 Kotitalousopettaja";3658;3500
"2018";"5115 Lastentarhanopettaja (-1985)";3558;2896
"2018";"5116 Musiikinopettaja, alin korkea-aste";3008;3000
"2018";"5119 Muu opettajankoulutus, alin korkea-aste";3620;3154
"2018";"5211 Artenomi";3201;3009
"2018";"5212 Musiikin koulutus, alin korkea-aste";3037;3071
"2018";"5213 Kuvataiteen koulutus, alin korkea-aste";2867;2520
"2018";"5215 Teatteri- ja tanssialan koulutus, alin korkea-aste";.;.
"2018";"5216 Medianomi";4001;3721
"2018";"5299 Muu humanistinen ja taidealan koulutus, alin korkea-aste";3381;3176
"2018";"5311 Merkonomi, liiketalouden opistotutkinto";3641;3229
"2018";"5314 Sihteerikoulutus, alin korkea-aste";4120;3926
"2018";"5399 Muu kaupallinen ja yhteiskuntatieteellinen koulutus, alin korkea-aste";4389;3435
"2018";"5411 Tietojenkäsittelyn koulutus, alin korkea-aste";5011;4729
"2018";"5511 Teknikko, konetekniikka ja kuljetustekniikka";4215;3946
"2018";"5512 Teknikko, sähkötekniikka ja automaatiotekniikka";4519;4194
"2018";"5513 Teknikko, tietotekniikka ja tietoliikennetekniikka";4613;4303
"2018";"5514 Teknikko, prosessitekniikka ja materiaalitekniikka";4006;3782
"2018";"5515 Teknikko, rakennustekniikka ja maanmittaustekniikka";4509;4268
"2018";"5519 Teknikko, muu tekniikka";3603;3321
"2018";"5599 Muu tekniikan koulutus, alin korkea-aste";3567;3251
"2018";"5611 Agrologi";3857;3520
"2018";"5612 Hortonomi";3327;3142
"2018";"5614 Iktyonomi";3173;3279
"2018";"5619 Muu maa- ja metsätalousalan koulutus, alin korkea-aste";3583;3374
"2018";"5711 Terveydenhuollon koulutus, alin korkea-aste";3497;3134
"2018";"5712 Sosiaalialan koulutus, alin korkea-aste";3102;2860
"2018";"5718 Farmaseutti (-1993)";3536;3270
"2018";"5719 Muu terveys- ja sosiaalialan koulutus, alin korkea-aste";.;.
"2018";"5811 Majoitus-, ravitsemis- ja talousalan koulutus, alin korkea-aste";3262;2940
"2018";"5812 Nuoriso- ja vapaa-aikatoiminnan koulutus, alin korkea-aste";3161;2852
"2018";"5813 Kauneudenhoitoalan koulutus, alin korkea-aste";2737;2793
"2018";"5814 Liikenteen ja merenkulun koulutus, alin korkea-aste";4310;4033
"2018";"5815 Suojelualan koulutus, alin korkea-aste";4516;4731
"2018";"5816 Sotilasalan koulutus, alin korkea-aste";4069;3855
"2018";"5819 Muu palvelualojen koulutus, alin korkea-aste";.;.
"2018";"5999 Muu koulutus, alin korkea-aste";3525;2818
"2018";"6111 Musiikin ammattikorkeakoulututkinto, opettajankoulutus";2693;2650
"2018";"6112 Teatteri- ja tanssialan ammattikorkeakoulututkinto, opettajankoulutus";2579;2335
"2018";"6121 Kasvatustieteen kandidaatti (alempi), opettajankoulutus";2777;2577
"2018";"6122 Kasvatustieteen kandidaatti (alempi), kasvatustieteet";3061;2852
"2018";"6129 Muu kasvatustieteellinen koulutus, alempi korkeakouluaste";.;.
"2018";"6131 Lastentarhanopettaja (1986-)";2994;2831
"2018";"6132 Peruskoulun luokanopettaja";3304;3000
"2018";"6133 Peruskoulun aineenopettaja";2973;2639
"2018";"6134 Erityisopettaja";3344;3201
"2018";"6136 Musiikinopettaja, alempi korkeakouluaste";.;.
"2018";"6139 Muu opettajankoulutus, alempi korkeakouluaste";2685;2527
"2018";"6211 Käsi- ja taideteollisuuden ja konservoinnin ammattikorkeakoulututkinto";3049;2850
"2018";"6212 Musiikin ammattikorkeakoulututkinto";2902;2630
"2018";"6213 Kuvataiteen ammattikorkeakoulututkinto";2538;2328
"2018";"6215 Teatteri- ja tanssialan ammattikorkeakoulututkinto";2647;2594
"2018";"6216 Medianomin ammattikorkeakoulututkinto";3409;3320
"2018";"6217 Humanistisen alan ja kulttuurialan ammattikorkeakoulututkinto";2893;2736
"2018";"6219 Muu humanistinen, taide- ja kulttuurialan ammattikorkeakoulututkinto";.;.
"2018";"6221 Taiteen koulutus, alempi korkeakouluaste";3786;3500
"2018";"6222 Musiikin koulutus, alempi korkeakouluaste";3010;2752
"2018";"6223 Kuvataiteen koulutus, alempi korkeakouluaste";.;.
"2018";"6225 Teatteri- ja tanssialan koulutus, alempi korkeakouluaste";3465;3290
"2018";"6229 Muu taidealan koulutus, alempi korkeakouluaste";.;.
"2018";"6231 Humanististen tieteiden kandidaatti, kielitieteet";3222;2997
"2018";"6232 Humanististen tieteiden kandidaatti, kääntäminen ja tulkkaus";3094;2979
"2018";"6233 Humanististen tieteiden kandidaatti, historia ja arkeologia";3214;2991
"2018";"6234 Humanististen tieteiden kandidaatti, kirjallisuuden, kulttuurien ja kielentutkimus";3113;2991
"2018";"6235 Humanististen tieteiden kandidaatti, taiteiden tutkimus";2963;2716
"2018";"6236 Humanististen tieteiden kandidaatti, viestintätieteet ja informaatiotutkimus";3458;3344
"2018";"6237 Humanististen tieteiden kandidaatti, filosofia";.;.
"2018";"6239 Humanististen tieteiden kandidaatti, muu ala";.;.
"2018";"6241 Teologian koulutus, alempi korkeakouluaste";2706;2520
